Age,Age_Cohort,Band,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,EEO_Job_Category,Employment_Status,Ethnic_Background,Gender,Generation,Job_Family,Job_Function,Location,Managerial_Employee,Minority,Organization_Tenure_Months,Organization_Tenure,Employee_ID,Employee_Name,Salary,Salary_Range,Employment_Type,Employment_Type_2,High_Potential,Prev_Performance_Rating,Prev_Successor,Successor,Successor_Duration,Successor_Readiness,Curr_Performance_Rating,Org_Unit_Level_1,Org_Unit_Level_2,Org_Unit_Level_3,Flight_Risk_Grouping,1_Flight_Risk_Driver,1_Flight_Risk_Driver_Value,2_Flight_Risk_Driver,2_Flight_Risk_Driver_Value,3_Flight_Risk_Driver,3_Flight_Risk_Driver_Value,Flight_Risk
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,96,8 Years,FIN_DK161,Gregory Vande Zande,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Controllers,Low,Position Tenure (Months),28-62,Band,Unallocated,Organization Tenure (Months),63-185,0
36,35-39,Unallocated,No,Low,Low,No,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Sales,North America,Managerial,Non-Minority,120,10 Years,GOV_92027688ABC,Christopher Gedatus,70000,$60k-<$80k,Full-Time,Temporary,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of General Counsel,Business Law,Medium,Band,Unallocated,Ethnic Background,Caucasian,Generation,Generation X (1964 -,0
47,45-49,Unallocated,Yes,Low,High,Yes,1st/Mid Level Officials & Mgrs,Active,Caucasian,Female,Generation X,Directors/Senior Managers,Customer Service,North America,Managerial,Non-Minority,96,8 Years,HTH_92027158ABC,Mirenda Jordan,120000,$100k+,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Healthcare,Corporate Services,Unallocated,Low,Position Tenure (Months),63-185,Band,Unallocated,Organization Tenure (Months),63-185,0
30,30-34,Unallocated,Yes,Unallocated,Unallocated,Yes,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Customer Service,North America,Non-Managerial,Non-Minority,22,21-<24 Months,HTH_69051ABC,Tyler Abdo,50000,$50k-<$60k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Nursing,Outpatient,Low,Band,Unallocated,Age (Years),26-41,State,Virginia,0
32,30-34,Unallocated,No,Low,Low,No,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Sales,Europe,Managerial,Non-Minority,72,6 Years,FIN_92027688,Robert Hay,70000,$60k-<$80k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Human Resources,Corporate Services,Low,Average Hours,40+,Generation,Generation X (1964 -,Age (Years),26-41,0
54,50-54,Unallocated,No,Low,Medium,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Female,Late Boomers,Managers - Business Ops,Sales,North America,Non-Managerial,Non-Minority,96,8 Years,GOV_92026412DEF,Tessa Guy,85000,$80k-<$100k,Full-Time,Temporary,No,Meets Expectations,Not identified as Successor,Successor - Not ready yet,<1 Year,2-3 Years,Meets Expectations,Government,Office of General Counsel,Business Law,Medium,Average Hours,0-20,Position Tenure (Months),63-185,Band,Unallocated,1
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,48,4 Years,FIN_DK135,Ricky Oler,85000,$80k-<$100k,Full-Time,Temporary,No,Failed to Meet Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Corporate Strategy,Low,Position Tenure (Months),28-62,Band,Unallocated,Age (Years),0-25,0
30,30-34,Unallocated,Yes,Unallocated,Unallocated,Yes,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Engineering / Technical,North America,Non-Managerial,Non-Minority,22,21-<24 Months,ENG_69051,Bayar Gray,50000,$50k-<$60k,Full-Time,Regular,No,Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Project Management,Low,Average Hours,40+,Band,Unallocated,Age (Years),26-41,0
31,30-34,Unallocated,Yes,Unallocated,Unallocated,Yes,Office and Clerical,Active,Caucasian,Female,Generation Y,Administrative Support,Sales,North America,Non-Managerial,Non-Minority,36,3 Years,GOV_37382DEF,Mindy Stogdill,30000,$30k-<$40k,Full-Time,Regular,Yes,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Failed to Meet Expectations,Government,Office of the Secretary,Planning,Low,Age (Years),26-41,Position Tenure (Months),28-62,Generation,Generation Y (1979 -,1
53,50-54,Unallocated,No,Medium,Medium,No,Professionals,Active,Caucasian,Female,Late Boomers,Business Ops Profs,Engineering / Technical,Europe,Non-Managerial,Non-Minority,15,15-<18 Months,ENG_92027439,Malena Lange,70000,$60k-<$80k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Field Support,Low,Age (Years),42-61,Average Hours,40+,Generation,Late Boomers (1955 -,0
