Customer ID,Customer Name,Customer_Segment,Sector,Country,Customer_Status,Annual_Speed,Length_Of_Sales_Cycle,Product_Name,Highest_Contract_Level,Compelling_Event,RFP,Sales_Engineer_Engaged,Services_Included,Customer_Meeting,License,Contacts,Opportunity_Value
1,Nelson Tax & Associates,Enterprise,Retail,India,prospect,Medium,2 Years,Analytics,Individual Contributor Level,Yes,Yes,Yes,No,5,299,68,58000
2,Emma Bull,Fortune500,Finserv,Russia,current customer,Huge,1 Year,Database,C-Level,Yes,Yes,No,Yes,29,299,114,201000
3,John Evans,Enterprise,Manufacturing,North America,prior customer,Huge,6 Months,Portal,Manager Level,No,Yes,Yes,No,26,74,19,52000
4,Roger Zahn,SMB,High tech,China,prospect,Huge,1 Month,CRM,Manager Level,Yes,Yes,No,Yes,6,78,148,46000
5,Chelsa Quinn Yates,Enterprise,Finserv,China,prior customer,Small,18 Months,Web Server,Individual Contributor Level,No,No,Yes,Yes,21,164,7,66000
6,Robert Jensen,SMB,Goods,India,prospect,Huge,2 Years,Web Server,Individual Contributor Level,Yes,No,Yes,Yes,31,22,149,15000
7,Charles Scott,SMB,Apparel,France,prior customer,Big,6 Months,Portal,Individual Contributor Level,Yes,Yes,No,Yes,27,39,99,19000
8,Joe Masson,Enterprise,Finserv,Germany,prior customer,Small,1 Month,Security,Manager Level,Yes,Yes,Yes,Yes,8,174,120,73000
9,Tracy Collins,Enterprise,Finserv,Germany,prospect,Small,6 Months,Web Server,Individual Contributor Level,Yes,Yes,Yes,No,23,146,146,23000
10,Alex Lynch,Enterprise,Retail,Italy,prior customer,Small,6 Months,Database,Individual Contributor Level,No,No,No,No,21,77,70,73000
11,Agnes Varda,Enterprise,Retail,Germany,current customer,Small,6 Months,Database,C-Level,No,Yes,Yes,Yes,25,109,142,76000
12,Albert Brooks,Fortune500,High tech,North America,current customer,Big,1 Year,Security,C-Level,Yes,Yes,No,No,39,153,41,131000
13,Edward Burns,Enterprise,Consumer Product,Russia,current customer,Small,2 Years,CRM,Individual Contributor Level,No,No,No,Yes,9,121,106,39000
14,Peter King,Fortune500,Goods,China,current customer,Large,1 Year,CRM,C-Level,Yes,Yes,No,Yes,36,422,120,182000
15,Douglas Barker,SMB,Goods,Germany,current customer,Large,6 Months,Identity Server,Manager Level,Yes,No,Yes,No,15,74,44,46000
16,Janett Adams,SMB,High tech,North America,prospect,Medium,1 Month,Analytics,Individual Contributor Level,Yes,No,Yes,No,11,69,39,14000
17,David Lynch,SMB,Retail,UK,prior customer,Large,1 Month,Database,Manager Level,Yes,Yes,Yes,No,7,42,70,14000
18,Ronald Bey,Fortune500,Goods,France,current customer,Small,1 Year,Web Server,C-Level,No,No,Yes,Yes,28,543,53,154000
19,Becker Berlin,SMB,Manufacturing,France,prospect,Medium,18 Months,Web Server,Individual Contributor Level,No,Yes,No,Yes,12,85,78,41000
20,Lampen-Markt GmbH,Enterprise,Consumer Product,India,prior customer,Small,18 Months,ERP,C-Level,No,Yes,Yes,Yes,22,173,155,56000
21,Autohaus Franzl GmbH,Fortune500,Manufacturing,Brazil,current customer,Small,1 Year,Portal,C-Level,Yes,Yes,Yes,No,42,217,31,161000
22,Institut fuer Umweltforschung,Enterprise,Goods,Russia,prior customer,Big,6 Months,Web Server,C-Level,Yes,No,No,Yes,26,177,34,46000
23,Karsson High Tech Markt,Enterprise,Goods,Germany,current customer,Medium,6 Months,Application Server,Manager Level,Yes,No,Yes,Yes,20,124,40,58000
